iter	Passed	Remaining
426	1738	2333
427	1742	2328
428	1745	2323
429	1748	2317
430	1751	2312
431	1755	2308
432	1759	2303
433	1762	2298
434	1765	2293
435	1769	2288
436	1774	2285
437	1777	2281
438	1781	2276
439	1785	2272
440	1789	2268
441	1793	2263
442	1796	2258
443	1800	2255
444	1805	2251
445	1808	2246
446	1812	2242
447	1817	2239
448	1821	2235
449	1824	2230
450	1828	2225
451	1832	2221
452	1835	2216
453	1838	2211
454	1842	2206
455	1845	2201
456	1849	2197
457	1852	2192
458	1855	2187
459	1858	2181
460	1862	2177
461	1865	2172
462	1869	2168
463	1872	2163
464	1875	2158
465	1880	2154
466	1883	2149
467	1887	2145
468	1890	2140
469	1893	2135
470	1897	2130
471	1900	2126
472	1904	2121
473	1907	2117
474	1911	2112
475	1914	2108
476	1917	2102
477	1921	2098
478	1925	2094
479	1928	2089
480	1931	2084
481	1935	2079
482	1938	2075
483	1942	2071
484	1946	2066
485	1949	2061
486	1952	2056
487	1956	2052
488	1960	2048
489	1963	2043
490	1966	2039
491	1970	2034
492	1974	2030
493	1977	2025
494	1981	2021
495	1984	2016
496	1988	2012
497	1991	2007
498	1995	2003
499	1998	1998
500	2002	1994
501	2006	1990
502	2009	1985
503	2012	1980
504	2016	1976
505	2019	1971
506	2023	1967
507	2026	1962
508	2029	1957
509	2033	1954
510	2037	1949
511	2040	1944
512	2043	1939
513	2047	1935
514	2051	1932
515	2054	1927
516	2058	1922
517	2061	1918
518	2065	1914
519	2068	1909
520	2072	1905
521	2076	1901
522	2079	1896
523	2083	1892
524	2086	1887
525	2090	1883
526	2094	1879
527	2101	1878
528	2106	1875
529	2110	1871
530	2113	1867
531	2117	1862
532	2120	1857
533	2124	1853
534	2127	1849
535	2131	1845
536	2135	1841
537	2139	1837
538	2143	1833
539	2147	1829
540	2150	1824
541	2154	1820
542	2158	1816
543	2162	1812
544	2165	1807
545	2168	1803
546	2172	1799
547	2176	1795
548	2180	1790
549	2183	1786
550	2187	1782
551	2191	1778
552	2194	1774
553	2197	1769
554	2201	1765
555	2205	1761
556	2208	1756
557	2211	1751
558	2214	1747
559	2218	1743
560	2222	1738
561	2225	1734
562	2228	1729
563	2232	1725
564	2237	1722
565	2240	1717
566	2243	1713
567	2247	1709
568	2251	1705
569	2254	1700
570	2258	1696
571	2261	1691
572	2265	1688
573	2268	1683
574	2272	1679
575	2275	1675
576	2280	1671
577	2283	1667
578	2287	1662
579	2290	1658
580	2294	1654
581	2298	1650
582	2301	1646
583	2305	1641
584	2308	1637
585	2312	1633
586	2315	1629
587	2318	1624
588	2322	1620
589	2326	1616
590	2329	1612
591	2333	1608
592	2336	1603
593	2340	1599
594	2344	1595
595	2347	1591
596	2350	1586
597	2353	1582
598	2357	1578
599	2360	1573
600	2364	1569
601	2367	1565
602	2372	1561
603	2375	1557
604	2378	1552
605	2382	1548
606	2385	1544
607	2389	1540
608	2393	1536
609	2396	1532
610	2400	1528
611	2404	1524
612	2407	1520
613	2411	1515
614	2414	1511
615	2418	1507
616	2422	1503
617	2426	1499
618	2429	1495
619	2432	1491
620	2436	1487
621	2439	1482
622	2442	1478
623	2446	1474
624	2450	1470
625	2453	1465
626	2456	1461
627	2459	1457
628	2463	1453
629	2467	1449
630	2470	1444
631	2473	1440
632	2476	1436
633	2480	1432
634	2484	1427
635	2487	1423
636	2490	1419
637	2494	1415
638	2498	1411
639	2501	1407
640	2504	1402
641	2507	1398
642	2511	1394
643	2515	1390
644	2519	1386
645	2522	1382
646	2526	1378
647	2530	1374
648	2533	1370
649	2537	1366
650	2541	1362
651	2544	1358
652	2547	1353
653	2551	1349
654	2554	1345
655	2558	1341
656	2561	1337
657	2565	1333
658	2568	1328
659	2572	1325
660	2575	1320
661	2578	1316
662	2581	1312
663	2585	1308
664	2589	1304
665	2592	1300
666	2595	1295
667	2599	1291
668	2602	1287
669	2605	1283
670	2608	1279
671	2612	1274
672	2616	1271
673	2620	1267
674	2623	1263
675	2626	1259
676	2630	1254
677	2634	1251
678	2637	1247
679	2640	1242
680	2644	1238
681	2648	1234
682	2652	1230
683	2655	1226
684	2658	1222
685	2662	1218
686	2666	1214
687	2669	1210
688	2673	1206
689	2676	1202
690	2680	1198
691	2684	1194
