iter	RMSE
284	4.260445927
285	4.25948367
286	4.256932493
287	4.256037805
288	4.255112309
289	4.254081635
290	4.253335627
291	4.252573229
292	4.251671357
293	4.250648614
294	4.248486168
295	4.247748101
296	4.246898662
297	4.246247228
298	4.245272829
299	4.244395409
300	4.242815858
301	4.242153644
302	4.241180031
303	4.240302953
304	4.237801813
305	4.236523951
306	4.23556329
307	4.2348407
308	4.233752834
309	4.232982073
310	4.231099765
311	4.230692221
312	4.229755115
313	4.229011016
314	4.22799382
315	4.226473796
316	4.225676053
317	4.223984471
318	4.222661927
319	4.221649528
320	4.220997599
321	4.220395704
322	4.219713394
323	4.218917873
324	4.217284462
325	4.216178427
326	4.215192262
327	4.213109226
328	4.211963717
329	4.210942138
330	4.209998971
331	4.2084373
332	4.208192536
333	4.207573075
334	4.206676082
335	4.204569641
336	4.202819532
337	4.201128968
338	4.200177634
339	4.199875614
340	4.199162909
341	4.198516338
342	4.197674941
343	4.196295253
344	4.194471136
345	4.193643978
346	4.192689435
347	4.191741855
348	4.190221897
349	4.189440966
350	4.188025603
351	4.187460444
352	4.186545505
353	4.185697741
354	4.185284265
355	4.183210384
356	4.18126173
357	4.18047291
358	4.180038259
359	4.179320201
360	4.178700899
361	4.177026969
362	4.175863111
363	4.174484523
364	4.173427728
365	4.172582676
366	4.172026955
367	4.170436262
368	4.169770076
369	4.168558763
370	4.168034118
371	4.166868335
372	4.165953102
373	4.164756835
374	4.164261075
375	4.163583531
376	4.162688295
377	4.161860395
378	4.160944981
379	4.160464517
380	4.159536796
381	4.158830164
382	4.158199273
383	4.1574446
384	4.156607874
385	4.15575032
386	4.155016654
387	4.15446139
388	4.15325869
389	4.152857751
390	4.152256548
391	4.152083532
392	4.150916612
393	4.149852355
394	4.149301737
395	4.148647648
396	4.147279746
397	4.145107682
398	4.144635661
399	4.144090418
400	4.143458592
401	4.142526102
402	4.141836311
403	4.141107831
404	4.140917695
405	4.140409713
406	4.139045027
407	4.138168297
408	4.137035803
409	4.136246513
410	4.135804578
411	4.135242167
412	4.134320473
413	4.133266051
414	4.132464363
415	4.132141786
416	4.130759243
417	4.12980449
418	4.129100286
419	4.127799444
420	4.127528018
421	4.126734252
422	4.125817283
423	4.125199119
424	4.124813759
425	4.124102463
426	4.123550934
427	4.123065276
428	4.122756258
429	4.121881955
430	4.121204766
431	4.120731
432	4.11923554
433	4.118331498
434	4.117475097
435	4.117067489
436	4.116456589
437	4.115541763
438	4.114723963
439	4.113927503
440	4.113193805
441	4.112286796
442	4.11168276
443	4.111443133
444	4.109281998
445	4.108013666
446	4.106418507
447	4.105654211
448	4.104397995
449	4.103839867
450	4.103349763
451	4.102546856
452	4.102114271
453	4.101982611
454	4.101258385
455	4.09995291
456	4.099278583
457	4.098492004
458	4.098069384
459	4.097858742
460	4.096565269
461	4.095861552
462	4.095122659
463	4.094695464
464	4.093936047
465	4.093230626
466	4.092169075
467	4.091671753
468	4.091182588
469	4.09065899
470	4.089973326
471	4.089487973
472	4.088860697
473	4.087778752
474	4.086741258
475	4.085884999
476	4.085229876
477	4.084472214
478	4.084268926
479	4.083069461
480	4.082458646
481	4.082002563
482	4.081579553
483	4.080951776
484	4.079643091
485	4.079107934
486	4.078051383
487	4.077019799
488	4.075902008
489	4.075190204
490	4.073872447
491	4.073273994
492	4.072389595
493	4.0718834
494	4.071174133
495	4.069659667
496	4.068967907
497	4.068827568
498	4.068277372
499	4.067484832
500	4.066786202
501	4.066292841
502	4.065133198
503	4.064374594
504	4.063552792
505	4.062859705
506	4.061767765
507	4.060930528
508	4.060176867
509	4.059682079
510	4.059061141
511	4.058552322
512	4.057758019
513	4.056811179
514	4.055759206
515	4.054953668
516	4.054294687
517	4.053798861
518	4.053318837
519	4.052697224
520	4.052098784
521	4.051761813
522	4.051299028
523	4.050655698
524	4.049862001
525	4.049260186
526	4.048454978
527	4.047572786
528	4.047177796
529	4.046526615
530	4.04610555
531	4.045510471
532	4.044529303
533	4.043933527
534	4.043399858
535	4.04255421
536	4.041191129
537	4.040617067
538	4.039817122
539	4.039311727
540	4.038485445
541	4.037926426
542	4.037316874
543	4.036671212
544	4.03604987
545	4.035174932
546	4.034890189
547	4.033770881
548	4.032993002
549	4.03203383
550	4.031804617
551	4.031206586
552	4.030599004
553	4.030034636
554	4.029382568
555	4.028601544
556	4.028496743
557	4.027862467
558	4.027271267
559	4.026598527
560	4.025648559
561	4.025112572
562	4.02396279
563	4.023452034
564	4.022642872
565	4.022136129
566	4.021253113
567	4.020627929
568	4.020102683
569	4.019748518
570	4.019079814
571	4.018218908
572	4.016882962
573	4.01568963
574	4.015430966
575	4.014857152
576	4.014581614
577	4.014207804
578	4.013919288
579	4.012649641
580	4.011908963
581	4.011490128
582	4.010800954
583	4.010244138
584	4.009337886
585	4.009034503
586	4.008747771
587	4.008286244
588	4.007614904
589	4.007165775
590	4.006723487
591	4.005950512
592	4.005518862
593	4.005174491
594	4.005011929
595	4.004326312
596	4.003856124
597	4.003415751
598	4.002992473
599	4.002301328
600	4.001458164
601	4.000887335
602	4.000205352
603	3.99974532
604	3.999193082
605	3.998419607
606	3.997914948
607	3.997646991
608	3.996825946
609	3.996323544
610	3.995834954
611	3.995313206
612	3.994770942
613	3.993694378
614	3.992694816
615	3.992220769
616	3.991808225
617	3.991322798
618	3.990590466
619	3.990119431
620	3.989578573
621	3.989093669
622	3.988744936
623	3.987695349
624	3.987065339
625	3.98668841
626	3.986610677
627	3.985969749
628	3.985737702
629	3.985065391
630	3.984522862
631	3.983676329
632	3.982884451
633	3.982445115
634	3.981871229
635	3.981517614
636	3.980607211
637	3.980021839
638	3.979345324
639	3.979019625
640	3.978554798
641	3.978451552
642	3.977985091
643	3.977075937
644	3.975767563
645	3.975195248
646	3.974965644
647	3.974662957
648	3.973958942
649	3.973639941
650	3.973226032
651	3.972821122
652	3.972005076
653	3.971401352
654	3.970774982
655	3.970068979
656	3.969570001
657	3.969434389
658	3.969075956
659	3.968428578
660	3.967617457
661	3.967314082
662	3.966673665
663	3.966062537
664	3.965512272
665	3.965014096
666	3.964640773
667	3.964262885
668	3.963685413
669	3.963588476
670	3.963354684
671	3.962737587
672	3.962349088
673	3.961763939
674	3.961463979
675	3.960527053
676	3.96019352
677	3.959253917
678	3.95866689
679	3.958105344
680	3.957644215
681	3.957201461
682	3.956604641
683	3.95601175
684	3.955296723
685	3.954153323
686	3.953502771
687	3.953303328
688	3.95266257
689	3.951941116
690	3.951593383
691	3.951329974
692	3.95033602
693	3.949343386
694	3.948928344
695	3.94813052
696	3.94721319
697	3.94655574
698	3.946098369
699	3.946003751
700	3.94536739
701	3.94516496
702	3.944451721
703	3.94397992
704	3.943441849
705	3.943131443
706	3.942870644
707	3.941925021
708	3.941501724
709	3.940777363
710	3.94027833
711	3.93999093
712	3.939055278
713	3.938271142
714	3.93760326
715	3.937051491
716	3.935906749
717	3.935023511
718	3.934992084
719	3.934573603
720	3.934154698
721	3.933703902
722	3.933561272
723	3.933141145
724	3.932355464
725	3.931919179
726	3.931019914
727	3.930672955
728	3.930259201
729	3.930123381
730	3.929118521
731	3.928638779
732	3.928510943
733	3.928168418
734	3.927300783
735	3.927164707
736	3.926497087
737	3.926269357
738	3.925311878
739	3.924412744
740	3.9238561
741	3.923782739
742	3.923349632
743	3.922973216
744	3.922339339
745	3.921886116
746	3.92158889
747	3.921123369
748	3.920516004
749	3.919498411
750	3.918758087
751	3.918465314
752	3.918314754
753	3.918041388
754	3.91760794
755	3.917242162
756	3.916806527
757	3.916421876
758	3.915693396
759	3.915578864
760	3.914894741
761	3.91450762
762	3.914019226
763	3.913412675
764	3.912765437
765	3.912278374
766	3.911761765
767	3.911325324
768	3.910994796
769	3.91072913
770	3.910282929
771	3.909872202
772	3.909478725
773	3.909065484
774	3.908620335
775	3.908234172
776	3.907671365
777	3.907209408
778	3.90695126
779	3.906657528
780	3.906081283
781	3.905597396
782	3.905056369
783	3.904227874
784	3.904094876
785	3.903789746
786	3.903533449
787	3.901998569
788	3.901157011
789	3.900861132
790	3.899879225
791	3.899553209
792	3.898706583
793	3.898407576
794	3.897867608
795	3.897162966
796	3.896812127
797	3.896231154
798	3.895929188
799	3.895544783
800	3.895070869
801	3.894724736
802	3.894202502
803	3.893504102
804	3.892722877
805	3.892285301
806	3.89195038
807	3.891113657
808	3.890685699
809	3.889852787
810	3.888926499
811	3.888682893
812	3.887884098
813	3.887241852
814	3.886596291
815	3.886322132
816	3.885867852
817	3.885049668
818	3.884678397
819	3.884127976
820	3.884020837
821	3.883288855
822	3.8831035
823	3.882703975
824	3.881829754
825	3.880945401
826	3.880323969
827	3.879777742
828	3.879225284
829	3.878708388
830	3.878233352
831	3.877534269
832	3.877299382
833	3.876794745
834	3.876190145
835	3.875081726
836	3.874576361
837	3.874202892
838	3.873436878
839	3.872767844
840	3.872219898
841	3.871603728
842	3.871219466
843	3.870931083
844	3.87037578
845	3.870093693
846	3.869644767
847	3.869285219
848	3.86876516
849	3.868492213
850	3.867949224
851	3.867212433
852	3.866935845
853	3.865764473
854	3.865202725
855	3.864529683
856	3.864044932
857	3.863624015
858	3.863312656
859	3.862838083
860	3.862417222
861	3.86198217
862	3.861425225
863	3.860819384
864	3.860646651
865	3.86038034
866	3.859804128
867	3.85925447
868	3.858435225
869	3.858347496
870	3.85810162
871	3.857750342
872	3.857630102
873	3.857037894
874	3.856366844
875	3.855871399
876	3.855471965
877	3.854975878
878	3.854517286
879	3.853930497
880	3.853657288
881	3.853065973
882	3.852574073
883	3.8520858
884	3.852021109
885	3.851350328
886	3.851092931
887	3.85074829
888	3.850353625
889	3.849605658
890	3.849270826
891	3.848932597
892	3.84859715
893	3.848262444
894	3.847953141
895	3.847545514
896	3.847442696
897	3.846747562
898	3.846331498
899	3.846036573
900	3.845507518
901	3.845089126
902	3.844658273
903	3.844194179
904	3.843830447
905	3.843386526
906	3.842953864
907	3.842327444
908	3.841807849
909	3.84132725
910	3.84106577
911	3.840663151
912	3.84011786
913	3.839259872
914	3.83885796
915	3.838698211
916	3.838456856
917	3.837694706
918	3.837077835
919	3.836663378
920	3.83613807
921	3.835548595
922	3.834939784
923	3.833855163
924	3.833340373
925	3.832606059
926	3.832277806
927	3.831936879
928	3.831593565
929	3.831176944
930	3.83073421
931	3.830196349
932	3.829954013
933	3.828843215
934	3.828374885
935	3.828149536
936	3.82778557
937	3.827421027
938	3.826919311
939	3.826270065
940	3.825671698
941	3.82511963
942	3.824750372
943	3.824229961
944	3.823671582
945	3.822670962
946	3.822456657
947	3.821812611
948	3.821470204
949	3.821140533
950	3.820685871
951	3.820409943
952	3.819944469
953	3.819624168
954	3.81901785
955	3.818319095
956	3.817831451
957	3.817290804
958	3.816959944
959	3.816451569
960	3.816146728
961	3.815494633
962	3.815043243
963	3.814867467
964	3.814369814
965	3.813817896
966	3.81339616
967	3.813014574
968	3.812678237
969	3.812231457
970	3.811342103
971	3.811294953
972	3.810702004
973	3.81031871
974	3.809560782
975	3.809180291
976	3.808798906
977	3.808347167
978	3.807988805
979	3.807791024
980	3.807326493
981	3.806945218
982	3.806634674
983	3.806364823
984	3.805760967
985	3.805574575
986	3.805177539
987	3.8047744
988	3.804566024
989	3.804177908
990	3.803672641
991	3.803367438
992	3.802809413
993	3.802252151
994	3.802053529
995	3.801777454
996	3.801454906
997	3.800949942
998	3.800479674
999	3.800226934
